Agency,Indicator,sample_min_date,sample_max_date,sample_count
Marlborough District Council,ECOLI,2007-02-12 00:00:00,2022-01-10 00:11:00,54
Marlborough District Council,NH4,2007-07-11 00:00:00,2021-07-12 23:45:00,51
Marlborough District Council,NO3N,2007-07-11 00:00:00,2021-07-12 23:45:00,53
Marlborough District Council,PH,2007-02-12 00:00:00,2021-07-12 23:45:00,52
Marlborough District Council,TN,2017-05-16 00:00:00,2021-07-12 23:45:00,6
Marlborough District Council,TON,2007-07-11 00:00:00,2021-07-12 23:45:00,52
Marlborough District Council,TP,2017-05-16 00:00:00,2021-07-12 23:45:00,6
Marlborough District Council,TURB,2007-02-12 00:00:00,2021-07-12 23:45:00,53
NIWA,BDISC,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,DRP,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,ECOLI,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,NH4,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,PH,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,TN,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,TON,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,TP,2014-12-10 05:15:00,2022-06-21 23:31:00,17
NIWA,TURB,2014-12-10 05:15:00,2022-06-21 23:31:00,17
Nelson City Council,BDISC,2010-09-30 00:00:00,2020-01-15 23:00:00,3
Nelson City Council,DIN,2018-07-18 00:10:00,2020-01-15 23:00:00,2
Nelson City Council,DRP,2010-09-30 00:00:00,2020-01-15 23:00:00,3
Nelson City Council,ECOLI,2010-09-30 00:00:00,2020-01-15 23:00:00,4
Nelson City Council,NH4,2010-09-30 00:00:00,2020-01-15 23:00:00,3
Nelson City Council,NO3N,2015-01-14 00:00:00,2020-01-15 23:00:00,10
Nelson City Council,PH,2010-09-30 00:00:00,2020-01-15 23:00:00,4
Nelson City Council,TN,2018-07-18 00:10:00,2020-01-15 23:00:00,3
Nelson City Council,TON,2018-07-18 00:10:00,2020-01-15 23:00:00,4
Nelson City Council,TP,2018-07-18 00:10:00,2020-01-15 23:00:00,2
Nelson City Council,TURB,2010-09-30 00:00:00,2020-01-15 23:00:00,3
Northland Regional Council,BDISC,2005-05-18 01:10:00,2015-12-16 05:30:00,6
Northland Regional Council,DRP,2005-05-18 01:10:00,2015-12-16 05:30:00,6
Northland Regional Council,ECOLI,2005-05-18 01:10:00,2015-12-16 05:30:00,5
Northland Regional Council,NH4,2005-05-18 01:10:00,2015-12-16 05:30:00,6
Northland Regional Council,NO3N,2013-12-18 01:15:00,2015-12-16 05:30:00,2
Northland Regional Council,PH,2005-05-18 01:10:00,2015-12-16 05:30:00,6
Northland Regional Council,TN,2011-03-24 19:05:00,2015-12-16 05:30:00,3
Northland Regional Council,TON,2005-05-18 01:10:00,2015-12-16 05:30:00,6
Northland Regional Council,TP,2005-05-18 01:10:00,2015-12-16 05:30:00,6
Northland Regional Council,TURB,2005-05-18 01:10:00,2015-12-16 05:30:00,5
Otago Regional Council,BDISC,2004-12-06 02:47:00,2010-11-29 00:08:00,14
Otago Regional Council,DIN,2004-01-06 00:00:00,2020-12-22 00:00:00,7089
Otago Regional Council,DRP,2004-12-06 02:47:00,2010-11-29 00:08:00,16
Otago Regional Council,ECOLI,2004-12-06 02:47:00,2021-03-15 00:12:00,33
Otago Regional Council,NH4,2004-12-06 02:47:00,2010-11-29 00:08:00,17
Otago Regional Council,NO3N,2004-12-06 02:47:00,2010-11-29 00:08:00,17
Otago Regional Council,PH,2004-12-06 02:47:00,2010-11-29 00:08:00,9
Otago Regional Council,TN,2004-12-06 02:47:00,2010-11-29 00:08:00,17
Otago Regional Council,TON,2004-12-06 02:47:00,2010-11-29 00:08:00,17
Otago Regional Council,TP,2004-12-06 02:47:00,2010-11-29 00:08:00,16
Otago Regional Council,TURB,2004-12-06 02:47:00,2010-11-29 00:08:00,14
Tasman District Council,BDISC,2004-11-30 04:00:00,2004-11-30 04:00:00,1
Tasman District Council,DRP,2004-11-30 00:00:00,2013-04-15 19:10:00,4
Tasman District Council,ECOLI,2004-11-30 00:00:00,2016-06-14 00:00:00,68
Tasman District Council,NH4,2004-11-30 00:00:00,2013-04-15 19:10:00,8
Tasman District Council,NO3N,2004-11-30 00:00:00,2013-04-15 19:10:00,4
Tasman District Council,PH,2013-04-15 19:10:00,2013-04-15 19:10:00,1
Tasman District Council,TN,2004-11-30 00:00:00,2013-04-15 19:10:00,4
Tasman District Council,TP,2004-11-30 00:00:00,2013-04-15 19:10:00,4
Tasman District Council,TURB,2004-11-30 00:00:00,2013-04-15 19:10:00,8
Waikato Regional Council,BDISC,2004-01-05 20:55:00,2022-12-22 00:48:00,20219
Waikato Regional Council,DRP,2004-01-05 20:15:00,2022-12-22 00:48:00,23884
Waikato Regional Council,ECOLI,2004-01-05 20:15:00,2022-12-22 00:48:00,15912
Waikato Regional Council,NH4,2004-01-05 20:15:00,2022-12-22 00:48:00,23901
Waikato Regional Council,PH,2004-01-05 20:15:00,2022-12-22 00:48:00,23766
Waikato Regional Council,TN,2004-01-05 20:15:00,2022-12-22 00:48:00,23903
Waikato Regional Council,TON,2004-01-05 20:15:00,2022-12-22 00:48:00,23902
Waikato Regional Council,TP,2004-01-05 20:15:00,2022-12-22 00:48:00,23572
Waikato Regional Council,TURB,2004-01-05 20:15:00,2022-12-22 00:48:00,23852
West Coast Regional Council,BDISC,2007-03-08 03:36:00,2008-12-03 19:00:00,4
West Coast Regional Council,DRP,2004-06-01 00:00:00,2020-05-19 00:00:00,180
West Coast Regional Council,ECOLI,2007-03-08 03:36:00,2008-12-03 19:00:00,4
West Coast Regional Council,NH4,2004-06-01 00:00:00,2020-05-19 00:00:00,182
West Coast Regional Council,NO3N,2004-06-01 00:00:00,2020-05-19 00:00:00,181
West Coast Regional Council,PH,2007-10-30 19:00:00,2008-12-03 19:00:00,3
West Coast Regional Council,TN,2004-06-01 00:00:00,2020-05-19 00:00:00,182
West Coast Regional Council,TP,2004-06-01 00:00:00,2020-05-19 00:00:00,182
West Coast Regional Council,TURBFNU,2004-06-01 00:00:00,2020-05-19 00:00:00,183
