LawaSiteID,Indicator,Units,value_count
ew-00144,ECOLI,#/100 mL,49
ew-00144,NH4N,mg/L,90
ew-00144,Secchi,m,78
ew-00144,TN,mg/m3,90
ew-00144,TP,mg/m3,90
ew-00144,pH,-log[H+],90
ew-00145,CHLA,mg/m3,184
ew-00145,CYANOTOT,mm3/L,37
ew-00145,ECOLI,#/100 mL,57
ew-00145,NH4N,mg/L,184
ew-00145,Secchi,m,167
ew-00145,TN,mg/m3,184
ew-00145,TP,mg/m3,184
ew-00145,pH,-log[H+],184
ew-00146,CHLA,mg/m3,152
ew-00146,CYANOTOT,mm3/L,104
ew-00146,ECOLI,#/100 mL,58
ew-00146,NH4N,mg/L,153
ew-00146,Secchi,m,138
ew-00146,TN,mg/m3,153
ew-00146,TP,mg/m3,153
ew-00146,pH,-log[H+],154
ew-00147,CHLA,mg/m3,142
ew-00147,CYANOTOT,mm3/L,119
ew-00147,ECOLI,#/100 mL,56
ew-00147,NH4N,mg/L,143
ew-00147,Secchi,m,130
ew-00147,TN,mg/m3,143
ew-00147,TP,mg/m3,143
ew-00147,pH,-log[H+],145
ew-00149,CHLA,mg/m3,181
ew-00149,CYANOTOT,mm3/L,37
ew-00149,ECOLI,#/100 mL,57
ew-00149,NH4N,mg/L,181
ew-00149,Secchi,m,163
ew-00149,TN,mg/m3,181
ew-00149,TP,mg/m3,181
ew-00149,pH,-log[H+],181
ew-00150,CHLA,mg/m3,95
ew-00150,CYANOTOT,mm3/L,34
ew-00150,ECOLI,#/100 mL,56
ew-00150,NH4N,mg/L,95
ew-00150,Secchi,m,80
ew-00150,TN,mg/m3,95
ew-00150,TP,mg/m3,95
ew-00150,pH,-log[H+],95
ew-00151,CHLA,mg/m3,136
ew-00151,CYANOTOT,mm3/L,118
ew-00151,ECOLI,#/100 mL,56
ew-00151,NH4N,mg/L,136
ew-00151,Secchi,m,125
ew-00151,TN,mg/m3,136
ew-00151,TP,mg/m3,136
ew-00151,pH,-log[H+],138
ew-00164,CHLA,mg/m3,112
ew-00164,CYANOTOT,mm3/L,16
ew-00164,ECOLI,#/100 mL,30
ew-00164,NH4N,mg/L,112
ew-00164,Secchi,m,89
ew-00164,TN,mg/m3,112
ew-00164,TP,mg/m3,112
ew-00164,pH,-log[H+],112
gw-00257,CHLA,mg/m3,151
gw-00257,ECOLI,#/100 mL,27
gw-00257,NH4N,mg/L,151
gw-00257,Secchi,m,136
gw-00257,TN,mg/m3,151
gw-00257,TP,mg/m3,151
gw-00257,pH,-log[H+],151
gw-00258,CHLA,mg/m3,136
gw-00258,ECOLI,#/100 mL,25
gw-00258,NH4N,mg/L,136
gw-00258,Secchi,m,132
gw-00258,TN,mg/m3,136
gw-00258,TP,mg/m3,136
gw-00258,pH,-log[H+],136
gw-00262,CHLA,mg/m3,75
gw-00262,NH4N,mg/L,76
gw-00262,Secchi,m,75
gw-00262,TN,mg/m3,76
gw-00262,TP,mg/m3,76
gw-00262,pH,-log[H+],76
gw-00263,CHLA,mg/m3,97
gw-00263,NH4N,mg/L,97
gw-00263,Secchi,m,93
gw-00263,TN,mg/m3,97
gw-00263,TP,mg/m3,97
gw-00263,pH,-log[H+],97
hbrc-00170,CHLA,mg/m3,110
hbrc-00170,CYANOTOT,mm3/L,15
hbrc-00170,ECOLI,#/100 mL,89
hbrc-00170,NH4N,mg/L,103
hbrc-00170,Secchi,m,93
hbrc-00170,TN,mg/m3,103
hbrc-00170,TP,mg/m3,103
hbrc-00170,pH,-log[H+],103
hbrc-00171,CHLA,mg/m3,120
hbrc-00171,CYANOTOT,mm3/L,23
hbrc-00171,ECOLI,#/100 mL,110
hbrc-00171,NH4N,mg/L,120
hbrc-00171,Secchi,m,104
hbrc-00171,TN,mg/m3,120
hbrc-00171,TP,mg/m3,120
hbrc-00171,pH,-log[H+],120
hbrc-00176,CHLA,mg/m3,194
hbrc-00176,CYANOTOT,mm3/L,21
hbrc-00176,ECOLI,#/100 mL,155
hbrc-00176,NH4N,mg/L,172
hbrc-00176,Secchi,m,149
hbrc-00176,TN,mg/m3,172
hbrc-00176,TP,mg/m3,172
hbrc-00176,pH,-log[H+],197
hrc-00329,CHLA,mg/m3,32
hrc-00329,CYANOTOT,mm3/L,20
hrc-00329,CYANOTOX,mm3/L,20
hrc-00329,ECOLI,#/100 mL,29
hrc-00329,NH4N,mg/L,32
hrc-00329,TN,mg/m3,32
hrc-00329,TP,mg/m3,32
hrc-00329,pH,-log[H+],20
hrc-00331,CHLA,mg/m3,59
hrc-00331,CYANOTOT,mm3/L,35
hrc-00331,CYANOTOX,mm3/L,35
hrc-00331,ECOLI,#/100 mL,59
hrc-00331,NH4N,mg/L,59
hrc-00331,Secchi,m,53
hrc-00331,TN,mg/m3,59
hrc-00331,TP,mg/m3,59
hrc-00331,pH,-log[H+],36
hrc-00332,CHLA,mg/m3,41
hrc-00332,CYANOTOT,mm3/L,20
hrc-00332,CYANOTOX,mm3/L,20
hrc-00332,ECOLI,#/100 mL,37
hrc-00332,NH4N,mg/L,41
hrc-00332,TN,mg/m3,41
hrc-00332,TP,mg/m3,41
hrc-00332,pH,-log[H+],20
hrc-00333,CHLA,mg/m3,89
hrc-00333,CYANOTOT,mm3/L,30
hrc-00333,CYANOTOX,mm3/L,30
hrc-00333,ECOLI,#/100 mL,88
hrc-00333,NH4N,mg/L,89
hrc-00333,Secchi,m,66
hrc-00333,TN,mg/m3,89
hrc-00333,TP,mg/m3,89
hrc-00333,pH,-log[H+],30
hrc-00335,CHLA,mg/m3,57
hrc-00335,CYANOTOT,mm3/L,37
hrc-00335,CYANOTOX,mm3/L,37
hrc-00335,ECOLI,#/100 mL,54
hrc-00335,NH4N,mg/L,56
hrc-00335,Secchi,m,49
hrc-00335,TN,mg/m3,57
hrc-00335,TP,mg/m3,57
hrc-00335,pH,-log[H+],39
hrc-00337,CHLA,mg/m3,58
hrc-00337,CYANOTOT,mm3/L,38
hrc-00337,CYANOTOX,mm3/L,38
hrc-00337,ECOLI,#/100 mL,58
hrc-00337,NH4N,mg/L,58
hrc-00337,Secchi,m,51
hrc-00337,TN,mg/m3,58
hrc-00337,TP,mg/m3,58
hrc-00337,pH,-log[H+],38
hrc-00339,CHLA,mg/m3,35
hrc-00339,CYANOTOT,mm3/L,17
hrc-00339,CYANOTOX,mm3/L,17
hrc-00339,ECOLI,#/100 mL,33
hrc-00339,NH4N,mg/L,36
hrc-00339,TN,mg/m3,36
hrc-00339,TP,mg/m3,36
hrc-00339,pH,-log[H+],20
hrc-00341,CHLA,mg/m3,39
hrc-00341,CYANOTOT,mm3/L,16
hrc-00341,CYANOTOX,mm3/L,16
hrc-00341,ECOLI,#/100 mL,36
hrc-00341,NH4N,mg/L,38
hrc-00341,TN,mg/m3,39
hrc-00341,TP,mg/m3,39
hrc-00341,pH,-log[H+],20
hrc-00342,CHLA,mg/m3,38
hrc-00342,CYANOTOT,mm3/L,16
hrc-00342,CYANOTOX,mm3/L,16
hrc-00342,ECOLI,#/100 mL,35
hrc-00342,NH4N,mg/L,38
hrc-00342,TN,mg/m3,38
hrc-00342,TP,mg/m3,38
hrc-00342,pH,-log[H+],20
lawa-100207,CHLA,mg/m3,0
lawa-100207,ECOLI,#/100 mL,0
lawa-100207,NH4N,mg/L,0
lawa-100207,Secchi,m,0
lawa-100207,TN,mg/m3,0
lawa-100207,TP,mg/m3,0
lawa-100207,pH,-log[H+],0
lawa-100208,CHLA,mg/m3,0
lawa-100208,CYANOTOT,mm3/L,0
lawa-100208,ECOLI,#/100 mL,0
lawa-100208,NH4N,mg/L,0
lawa-100208,Secchi,m,0
lawa-100208,TN,mg/m3,0
lawa-100208,TP,mg/m3,0
lawa-100208,pH,-log[H+],0
lawa-100209,CHLA,mg/m3,0
lawa-100209,ECOLI,#/100 mL,0
lawa-100209,NH4N,mg/L,0
lawa-100209,Secchi,m,0
lawa-100209,TN,mg/m3,0
lawa-100209,TP,mg/m3,0
lawa-100209,pH,-log[H+],0
lawa-100210,CHLA,mg/m3,0
lawa-100210,CYANOTOT,mm3/L,0
lawa-100210,ECOLI,#/100 mL,0
lawa-100210,NH4N,mg/L,0
lawa-100210,Secchi,m,0
lawa-100210,TN,mg/m3,0
lawa-100210,TP,mg/m3,0
lawa-100210,pH,-log[H+],0
lawa-100211,CHLA,mg/m3,0
lawa-100211,CYANOTOT,mm3/L,0
lawa-100211,NH4N,mg/L,0
lawa-100211,Secchi,m,0
lawa-100211,TN,mg/m3,0
lawa-100211,TP,mg/m3,0
lawa-100211,pH,-log[H+],0
lawa-100213,CHLA,mg/m3,0
lawa-100213,NH4N,mg/L,0
lawa-100213,Secchi,m,0
lawa-100213,TN,mg/m3,0
lawa-100213,TP,mg/m3,0
lawa-100213,pH,-log[H+],0
lawa-100215,CHLA,mg/m3,0
lawa-100215,ECOLI,#/100 mL,0
lawa-100215,NH4N,mg/L,0
lawa-100215,Secchi,m,0
lawa-100215,TN,mg/m3,0
lawa-100215,TP,mg/m3,0
lawa-100215,pH,-log[H+],0
lawa-100243,CHLA,mg/m3,72
lawa-100243,CYANOTOT,mm3/L,22
lawa-100243,ECOLI,#/100 mL,46
lawa-100243,NH4N,mg/L,70
lawa-100243,Secchi,m,49
lawa-100243,TN,mg/m3,73
lawa-100243,TP,mg/m3,73
lawa-100243,pH,-log[H+],88
lawa-100250,CHLA,mg/m3,38
lawa-100250,CYANOTOT,mm3/L,20
lawa-100250,CYANOTOX,mm3/L,20
lawa-100250,ECOLI,#/100 mL,35
lawa-100250,NH4N,mg/L,38
lawa-100250,TN,mg/m3,38
lawa-100250,TP,mg/m3,38
lawa-100250,pH,-log[H+],20
lawa-100263,CHLA,mg/m3,0
lawa-100263,NH4N,mg/L,0
lawa-100263,Secchi,m,0
lawa-100263,TN,mg/m3,0
lawa-100263,TP,mg/m3,0
lawa-100263,pH,-log[H+],0
lawa-100264,CHLA,mg/m3,0
lawa-100264,NH4N,mg/L,0
lawa-100264,Secchi,m,0
lawa-100264,TN,mg/m3,0
lawa-100264,TP,mg/m3,0
lawa-100264,pH,-log[H+],0
lawa-100266,CHLA,mg/m3,0
lawa-100266,CYANOTOT,mm3/L,0
lawa-100266,NH4N,mg/L,0
lawa-100266,Secchi,m,0
lawa-100266,TN,mg/m3,0
lawa-100266,TP,mg/m3,0
lawa-100266,pH,-log[H+],0
lawa-101982,CHLA,mg/m3,32
lawa-101982,CYANOTOT,mm3/L,10
lawa-101982,CYANOTOX,mm3/L,9
lawa-101982,TN,mg/m3,32
lawa-101982,TP,mg/m3,32
lawa-101983,CHLA,mg/m3,36
lawa-101983,TN,mg/m3,36
lawa-101983,TP,mg/m3,36
lawa-101984,CHLA,mg/m3,164
lawa-101984,ECOLI,#/100 mL,113
lawa-101984,pH,-log[H+],99
lawa-101985,CHLA,mg/m3,164
lawa-101985,ECOLI,#/100 mL,113
lawa-101985,pH,-log[H+],98
lawa-102219,CHLA,mg/m3,0
lawa-102219,ECOLI,#/100 mL,0
lawa-102219,NH4N,mg/L,0
lawa-102219,Secchi,m,0
lawa-102219,TN,mg/m3,0
lawa-102219,TP,mg/m3,0
lawa-102219,pH,-log[H+],0
lawa-102220,CHLA,mg/m3,0
lawa-102220,ECOLI,#/100 mL,0
lawa-102220,NH4N,mg/L,0
lawa-102220,Secchi,m,0
lawa-102220,TN,mg/m3,0
lawa-102220,TP,mg/m3,0
lawa-102220,pH,-log[H+],0
lawa-102221,CHLA,mg/m3,0
lawa-102221,CYANOTOT,mm3/L,0
lawa-102221,ECOLI,#/100 mL,0
lawa-102221,NH4N,mg/L,0
lawa-102221,Secchi,m,0
lawa-102221,TN,mg/m3,0
lawa-102221,TP,mg/m3,0
lawa-102221,pH,-log[H+],0
lawa-102303,CHLA,mg/m3,77
lawa-102303,CYANOTOT,mm3/L,36
lawa-102303,ECOLI,#/100 mL,57
lawa-102303,NH4N,mg/L,77
lawa-102303,Secchi,m,76
lawa-102303,TN,mg/m3,77
lawa-102303,TP,mg/m3,77
lawa-102303,pH,-log[H+],77
lawa-102304,CHLA,mg/m3,78
lawa-102304,CYANOTOT,mm3/L,36
lawa-102304,ECOLI,#/100 mL,56
lawa-102304,NH4N,mg/L,78
lawa-102304,Secchi,m,75
lawa-102304,TN,mg/m3,78
lawa-102304,TP,mg/m3,78
lawa-102304,pH,-log[H+],78
lawa-102305,CHLA,mg/m3,81
lawa-102305,CYANOTOT,mm3/L,35
lawa-102305,ECOLI,#/100 mL,58
lawa-102305,NH4N,mg/L,81
lawa-102305,Secchi,m,78
lawa-102305,TN,mg/m3,81
lawa-102305,TP,mg/m3,81
lawa-102305,pH,-log[H+],81
lawa-102308,CHLA,mg/m3,32
lawa-102308,CYANOTOT,mm3/L,21
lawa-102308,CYANOTOX,mm3/L,21
lawa-102308,ECOLI,#/100 mL,30
lawa-102308,NH4N,mg/L,31
lawa-102308,TN,mg/m3,33
lawa-102308,TP,mg/m3,33
lawa-102308,pH,-log[H+],20
lawa-102686,CHLA,mg/m3,73
lawa-102686,ECOLI,#/100 mL,34
lawa-102686,NH4N,mg/L,73
lawa-102686,Secchi,m,73
lawa-102686,TN,mg/m3,73
lawa-102686,TP,mg/m3,69
